trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.76968252857756,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.94826921258536,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.0428312271108,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.31426379481874,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.92789591076172,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,0.648437751469902,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.41428869466284,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.05975967770675,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-230.4114829806443,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.39167538445126,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.5600333813861,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.58724415418178,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-118.55471794000444,"{0: 25, 1: 1, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.27394075714635,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-41.72400813050509,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.92527213347418,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.89876435663223,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,1,-197.53728807095766,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.92283610024444,"{0: 9, 1: 4, 2: 2, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.10619328009894,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,2,-63.84490151597246,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.99095047062572,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.59795612708943,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.7981540028719,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-206.9376426675953,"{0: 10, 1: 4, 2: 6, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-317.71378393924573,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.60882419799795,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.97061784198462,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.39622854658478,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.76328447696304,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
